Huawei Matebook D16,50 000 ₽,1 день назад,"Год назад купил на время ремонта основного ноута. Сейчас в нем нет необходимости. Шустрая машинка, все работает. 
Ssd на 512 гб. 
Из некритичных минусов — 8 gb оперативки и незаметные легкие потертости по гра ням от эксплуатации. 

Не ронял, не заливал, старался относиться бережно. 
Любые проверки/тесты при встрече.",https://www.avito.ru/moskva/noutbuki/huawei_matebook_d16_2615291383?slocation=621540,2615291383
Игровой ноутбук Huawei Matebook d16,80 000 ₽,8 часов назад,"Продаю мощный ноутбук. Б/у менее 3 месяцев. С коробкой, и чек тоже поищу. Windows 10, касперский.",https://www.avito.ru/perm/noutbuki/igrovoy_noutbuk_huawei_matebook_d16_2675975580?slocation=621540,2675975580
Ростов на дону,50 000 ₽,10 часов назад,"Продается ноутбук Huawei Matebook D 16 в хорошем состоянии, пользовался год, заряд батарее держит хорошо, корпус без царапин и трещит, готов к обоснованному торгу.",https://www.avito.ru/rostov-na-donu/noutbuki/rostov_na_donu_2623726040?slocation=621540,2623726040
Huaweii d16 4600h 8gb,43 500 ₽,14 часов назад,"Ноутбуку полтора года, в отличном состоянии. Использовался для работы, кодинга. Сейчас перешел на мак. Родной коробки нет.",https://www.avito.ru/moskva/noutbuki/huaweii_d16_4600h_8gb_2674232625?slocation=621540,2674232625
Huawei matebook D16 + чехол в подарок,55 000 ₽,2 дня назад,"Ноутбук в идеальном состоянии. 
Куплен в июне 2021. 
Российская гарантия, русские буквы на клавиатуре.
В комплекте коробка, инструкция, зарядка, все, что было. 
Зарядка на 100Вт. 
Любые проверки. 
Отличный чехол в подарок. 
Huawei matebook D16 8+512 Гб Ssd|16.1"", Ips, Amd Ryzen 5 4600H 7нм, Radeon™ Graphics 4k.",https://www.avito.ru/sankt-peterburg/noutbuki/huawei_matebook_d16_chehol_v_podarok_2638084241?slocation=621540,2638084241
Huawei matebook d16 rlef-X i5/16/512/win11,62 000 ₽,5 часов назад,"Продам абсолютно новый, запечатанный в заводские пломбы Ноутбук Huawei matebook D16 Rlef-X серый. Ростест. Официальная гарантия! Приобретался в ситилинке. Документы на приобретение предоставлю. Любые проверки. 

16 дюймов.
Intel Core i5-12500H 12 ядер.
16GB оперативка.
512GB Ssd.
Intel Iris Xe Graphics.
Win 11.
Материал корпуса алюминий.

Без торг а! В наличии 10шт! 

Мои низкие цены никаким образом не связаны с каким либо качеством техники. Вся техника официальная, новая, на официальной гарантии, не ворованная, не восстановленная итд! Просто есть вариант).",https://www.avito.ru/moskva/noutbuki/huawei_matebook_d16_rlef-x_i516512win11_2574919121,2574919121
"16"" Ноутбук huawei MateBook D16 rlef-X Core i5",62 000 ₽,10 часов назад,"Продам новые! Запечатанные в заводские пломбы ноутбуки, коробки не вскрывались! Покупались в Ситилинке. Huawei matebook D16 Rlef-X раскладка клавиатуры русская-латинская! Установлено Win 11.

I5-12500H цена 62 000₽.
И.
I7-12700H цена 74 500 ₽.

Официальная гарантия 12 месяцев! Ростест! Документы на покупку предоставляю! Без торга! 

I5-12500H 16 дюймов.

Процессор Intel Core i5-12500H.
Общее количество ядер 12.
Объем оперативной памяти 16 ГБ.
Видеокарта Intel Iris Xe Graphics.
Общий объем твердотельных накопителей (Ssd) 512 ГБ.
Win 11.

I7-12700H 16 дюймов.

Процессор Intel Core i7-12700H.
Общее количество ядер 14.
Объем оперативной памяти 16 ГБ.
Видеокарта Intel Iris Xe Graphics.
Общий объем твердотельных накопителей (Ssd) 512 ГБ.
Win 11 Ростест! 

Цена 74 500 ₽ Без торга!",https://www.avito.ru/moskva/noutbuki/16_noutbuk_huawei_matebook_d16_rlef-x_core_i5_2666254868,2666254868
Новый Huawei Matebook D16 /i5-12450H/16GB/512GB,62 500 ₽,7 часов назад,"— Срочно! Минимальный ценник в РФ на эту модель в такой комплектации! 
— Абсолютно новая рабочая станция Huawei Matebook D16 в идеальном состоянии! Цены в ретейлах от 90 тыс. Рублей. В комплекте с коробкой и фирменным З/У. Любые проверки! Две недели на возврат. Рассрочка. Безнал. Опт. Торг у капота! На официальной гарантии до 11.11.2024г. 

— Точная модель — Huawei Matebook D16 Rlef-W5651D.
— Процессор — I5-12450H — 8 ядер, 12 потоков, до 4.4 Ггц. 
— Оперативная память — 16 GB Lpddr4. 
— Видео — Uhd Graphics. 
— Диск — 512 GB Ssd M.2 (Возможен апгрейд). 
— Экран — 16' fullhd 1920x1080 Матовый Ips. 
— Опции — wifi AC / Premium Audio / Webcam/ fingerprint. 
— Порты — Usb 2.0, Usb 3.2 gen1 x2 / Hdmi / Usb-Type C. 
— Операционная система — Windows 11 Home. 

— Уважаю ваше время. Ценю свою репутацию. 
— Осмотр и проверки в минуте от м. Парк Победы. 
— Бесплатная доставка по Москве с оплатой при получении. 
— Авито Доставка / Почта / Сдэк в любую точку РФ. 
— Возможен выкуп вашей техники. Оценю дороже всех. 
— Посоветую лучшую модель под ваши задачи и бюджет. 
— Все что в профиле — в наличии. Можно выбрать на месте. 
— Берегите время и деньги. Жизнь слишком коротка, чтобы пользоваться медленными ноутбуками. 

— Одна из лучших рабочих станций бизнес класса по соотношению цена/качество, судя по обзорам в интернете. Основные плюсы — Свежая платформа последнего 12-ого поколения Intel с мощным, 8ми ядерным процессором i5-12450H (до 4.4 Ггц), сочный Ips экран высокого разрешения, огромный объем оперативки и быстрый Ssd накопитель на 512 GB. Великолепное качество сборки корпуса и отличная автономность — до 13 часов работы. Удачная покупка для успешного человека, ценителя мощной и стильной портативной техники премиального класса. 

— Возможен обмен на ультрабук: Lenovo thinkpad thinkbook X1 X13 Carbon Nano Yoga, HP Probook elitebook 840 G5 G6 G7 G8 Spectre Envy X360; Asus zenbook expertbook Flip; Dell Vostro Latitude Xps; Acer Swift 3; Huawei Matebook X Pro Honor magicbook; Xiaomi Pro Air LG Gram; Samsung Notebook C процессором Ryzen 5 7 / Core i5, i7 / С диагональю экрана 12.5' 13 14 15.6 Fhd 4K.",https://www.avito.ru/moskva/noutbuki/novyy_huawei_matebook_d16_i5-12450h16gb512gb_2614954682?slocation=621540,2614954682
Ноутбук Huawei matebook d16,57 000 ₽,3 дня назад,"Продаю ноутбук, состояние отличное. Коробка имеется. На борту: 
Экран Ips 1920:1200.
Процессор Intel Core I7 12700H (14 ядер, 20 потоков).
Быстрая оперативная память 16 gb.
Быстрый Ssd 512 gb.
Металлический корпус.
Отпечаток пальца.
Двухуровневая подсветка клавиатуры.
Быстрая зарядка 64 ватт.
Емкий Акб (вполне хватает на 8 часовой рабочий день).
Высокоскоростные Usb порты.
Режим увеличенной производительности.
Отличная широкоугольная веб-камера.
4 микрофона с шумоподавлением — отличное качество передачи голоса.
Хорошие динамики — умеют басить. 
Куплен 09.09.2022, продаю в связи с поломкой автомобиля.",https://www.avito.ru/nizhniy_novgorod/noutbuki/noutbuk_huawei_matebook_d16_2568381498,2568381498
Huawei matebook d16 i7/16/512/win11. Ростест,74 500 ₽,5 часов назад,"Продам абсолютно новый, запечатанный в заводские пломбы Ноутбук Huawei matebook D16 Rlef-X серый. Ростест. Официальная гарантия! Приобретался в ситилинке. Документы на приобретение предоставлю. Любые проверки. 

16 дюймов.
Intel Core i7-12700H 14 ядер.
16GB оперативка.
512GB Ssd.
Intel Iris Xe Graphics.
Win 11.
Материал корпуса алюминий.

Без торга! В наличии 10шт! 

Мои низкие цены никаким образом не связаны с каким либо качеством техники. Вся техника официальная, новая, на официальной гарантии! Техника Не ворованная, не восстановленная итд! Просто есть вариант) смотрите актуальные отзывы реальных покупателей у меня в профиле!",https://www.avito.ru/moskva/noutbuki/huawei_matebook_d16_i716512win11._rostest_2575316272,2575316272
